Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,G2 Esports,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Team Heretics,sova,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Team Heretics,jett,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Team Heretics,kayo,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Team Heretics,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Team Heretics,cypher,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,100 Thieves,killjoy,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,100 Thieves,sova,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,100 Thieves,jett,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,100 Thieves,kayo,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,100 Thieves,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Gen.G,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Gen.G,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Gen.G,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Gen.G,kayo,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,Gen.G,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,G2 Esports,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,G2 Esports,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,G2 Esports,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,G2 Esports,fade,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,G2 Esports,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,Team Heretics,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,Team Heretics,cypher,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,Team Heretics,fade,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,Team Heretics,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,Team Heretics,breach,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,G2 Esports,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,G2 Esports,killjoy,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,G2 Esports,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,G2 Esports,fade,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,G2 Esports,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,Gen.G,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,Gen.G,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,Gen.G,fade,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,Gen.G,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,G2 Esports,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,G2 Esports,killjoy,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,G2 Esports,kayo,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,G2 Esports,sova,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,G2 Esports,jett,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,Gen.G,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,Gen.G,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,Gen.G,kayo,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,Gen.G,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,Gen.G,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Gen.G,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Gen.G,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Gen.G,astra,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Gen.G,yoru,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Team Heretics,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Team Heretics,jett,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Team Heretics,sova,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Team Heretics,skye,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,Team Heretics,cypher,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Gen.G,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Gen.G,jett,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Gen.G,killjoy,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Gen.G,kayo,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Gen.G,gekko,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Team Heretics,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Team Heretics,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Team Heretics,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Team Heretics,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,Team Heretics,kayo,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Gen.G,jett,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,Gen.G,omen,0,1,1
